#CHROM	POS
I	10031
I	13078
I	13117
I	19317
I	22257
I	32927
I	35007
I	44163
I	64044
I	67303
I	88096
I	95771
I	95773
I	95774
I	121024
I	129793
I	130380
I	130381
I	136834
I	171171
I	189916
I	200075
I	200231
I	203260
I	203395
I	206753
I	209520
I	213244
I	248956
I	262703
I	280420
I	282775
I	292438
I	298011
I	329119
I	350207
I	351043
I	351875
I	353894
I	373440
I	386004
I	388924
I	388952
I	391502
I	421230
I	422765
I	429525
I	429555
I	439701
I	463472
I	483304
I	490260
I	501530
I	513855
I	517673
I	517707
I	527327
I	529889
I	533861
I	539194
I	539274
I	573448
I	581800
I	636049
I	637319
I	637363
I	637474
I	667900
I	671797
I	674366
I	674446
I	675613
I	683947
I	685714
I	690570
I	691123
I	691145
I	693204
I	693217
I	700049
I	700108
I	700121
I	712045
I	718930
I	730439
I	731196
I	752914
I	752915
I	752916
I	752919
I	769138
I	775524
I	779888
I	779889
I	779895
I	809743
I	812066
I	816989
I	837980
I	864417
I	864427
I	873750
I	884887
I	891573
I	894996
I	900852
I	909435
I	909448
I	914692
I	919374
I	920344
I	990478
I	992266
I	992267
I	994084
I	994109
I	994296
I	994446
I	994504
I	994555
I	1003648
I	1009450
I	1009457
I	1009750
I	1009862
I	1015900
I	1018051
I	1021187
I	1033159
I	1033250
I	1038436
I	1041272
I	1058900
I	1066368
I	1073789
I	1073798
I	1089616
I	1092421
I	1092478
I	1110163
I	1110502
I	1113664
I	1128364
I	1138187
I	1139949
I	1140126
I	1142129
I	1166197
I	1169002
I	1169009
I	1169040
I	1170951
I	1183342
I	1185865
I	1200802
I	1233659
I	1233745
I	1241261
I	1242967
I	1256484
I	1269245
I	1269253
I	1269787
I	1269893
I	1272589
I	1272590
I	1279055
I	1287298
I	1287871
I	1287916
I	1296794
I	1310304
I	1310305
I	1310314
I	1328919
I	1328935
I	1341604
I	1344447
I	1367189
I	1394345
I	1394373
I	1399112
I	1403894
I	1405907
I	1405923
I	1405924
I	1415277
I	1431794
I	1437632
I	1457187
I	1457264
I	1460888
I	1466324
I	1466431
I	1466443
I	1466449
I	1466491
I	1467444
I	1467813
I	1476551
I	1476590
I	1482299
I	1482408
I	1482427
I	1499478
I	1503997
I	1504008
I	1504082
I	1504084
I	1509042
I	1520217
I	1523499
I	1526127
I	1528901
I	1528978
I	1541705
I	1541745
I	1546751
I	1552332
I	1552384
I	1552434
I	1555256
I	1556010
I	1556071
I	1582134
I	1582141
I	1582186
I	1582254
I	1586885
I	1586897
I	1586901
I	1586919
I	1586928
I	1590947
I	1597722
I	1600867
I	1611051
I	1611285
I	1626301
I	1636767
I	1649783
I	1660874
I	1660978
I	1666416
I	1667205
I	1667276
I	1667280
I	1667828
I	1667843
I	1673060
I	1673098
I	1673141
I	1673170
I	1673864
I	1685429
I	1691867
I	1691884
I	1701151
I	1701964
I	1702001
I	1702089
I	1746038
I	1752618
I	1754689
I	1754785
I	1817047
I	1817141
I	1829548
I	1831933
I	1858802
I	1868286
I	1895059
I	1897531
I	1908278
I	1908498
I	1908550
I	1912337
I	1916943
I	1917003
I	1917065
I	1929822
I	1938956
I	1939098
I	1941975
I	1942073
I	1955368
I	1958240
I	1970078
I	1981352
I	1983703
I	1983758
I	1985978
I	1993090
I	2000754
I	2010703
I	2026365
I	2055267
I	2055381
I	2059037
I	2059181
I	2060669
I	2060672
I	2071969
I	2093842
I	2108720
I	2111365
I	2111375
I	2111376
I	2119977
I	2120010
I	2135152
I	2135155
I	2135162
I	2135182
I	2168372
I	2188295
I	2188308
I	2188320
I	2202005
I	2204415
I	2204426
I	2204506
I	2208084
I	2208085
I	2208142
I	2208145
I	2210114
I	2211281
I	2211374
I	2211439
I	2216296
I	2237611
I	2237629
I	2237686
I	2262482
I	2262539
I	2268794
I	2268849
I	2287186
I	2310939
I	2314953
I	2315082
I	2315097
I	2325916
I	2334195
I	2334213
I	2334229
I	2334246
I	2370581
I	2370621
I	2372557
I	2372560
I	2372561
I	2386041
I	2388148
I	2388212
I	2389972
I	2389983
I	2390023
I	2390096
I	2407972
I	2425075
I	2425186
I	2429938
I	2435754
I	2435757
I	2443437
I	2443609
I	2446627
I	2446743
I	2451164
I	2452094
I	2454924
I	2478559
I	2488066
I	2488067
I	2489423
I	2502497
I	2504854
I	2525219
I	2525261
I	2525302
I	2530086
I	2530227
I	2535437
I	2535580
I	2535596
I	2541513
I	2541564
I	2541576
I	2549753
I	2549755
I	2549779
I	2549895
I	2549897
I	2549940
I	2552681
I	2552796
I	2553123
I	2555196
I	2566202
I	2566342
I	2567529
I	2568131
I	2570733
I	2570770
I	2570774
I	2570795
I	2585369
I	2592664
I	2593816
I	2593939
I	2594023
I	2594098
I	2621238
I	2623431
I	2624069
I	2625371
I	2628643
I	2632546
I	2632557
I	2643819
I	2643830
I	2648633
I	2657917
I	2667837
I	2685709
I	2685857
I	2685873
I	2685874
I	2685876
I	2696465
I	2706513
I	2719805
I	2725644
I	2747886
I	2752673
I	2758581
I	2775524
I	2789626
I	2789739
I	2798340
I	2811213
I	2813050
I	2826351
I	2831017
I	2831057
I	2845794
I	2846149
I	2846316
I	2850565
I	2850584
I	2862126
I	2881104
I	2881116
I	2883863
I	2883945
I	2898413
I	2912797
I	2912866
I	2915967
I	2920183
I	2920304
I	2920306
I	2921239
I	2921444
I	2948187
I	2948191
I	2949987
I	2953051
I	2954098
I	2980179
I	2982040
I	2982129
I	2986371
I	2986375
I	2989847
I	2994234
I	2994273
I	2996324
I	2996341
I	2996400
I	2996463
I	2999522
I	2999876
I	3012574
I	3012653
I	3012703
I	3023651
I	3030701
I	3031428
I	3035427
I	3039809
I	3039817
I	3040329
I	3051257
I	3055288
I	3055353
I	3058678
